number,smiles,,
98,NC1=CC=C(OC2=CC=C(C(C3=CC=CC=C3C4=O)(O4)C5=CC=C(OC6=CC=C(N)C=C6)C=C5)C=C2)C=C1,79,
99,NC1=CC=C(OC2=CC=C(C(C3=CC=CC=C3C4=O)(O4)C5=CC=C(OC6=CC=C(N)C=C6C(F)(F)F)C=C5)C=C2)C(C(F)(F)F)=C1,80,
100,NC1=CC(C(F)(F)F)=C(OC2=CC=C(C(C3=CC=CC=C3C4=O)(C5=C4C=CC=C5)C6=CC=C(OC7=CC=C(N)C=C7C(F)(F)F)C=C6)C=C2)C=C1,81,
101,NC1=C(C)C=C(C(C2=CC(C)=C(N)C(C)=C2)C3=CC=C(O)C=C3)C=C1C,82,
102,NC1=C(C(F)(F)F)C=C(OC2=CC(OC3=CC(C(F)(F)F)=C(N)C=C3)=CC(P(C4=CC=CC=C4)(C5=CC=CC=C5)=O)=C2)C=C1,83,
103,NC1=CC=C(OC2=CC=C(C3=NC(C4=CC=CC=C4)=C(C5=CC=CC=C5)N3C6=CC=C(OC7=C(C(F)(F)F)C=C(N)C=C7)C=C6)C=C2)C(C(F)(F)F)=C1,84,
104,NC1=C(F)C=C(C2(C(C=CC=C3)=C3C4=C2C=CC=C4)C5=CC=C(N)C(F)=C5)C=C1,85,
105,NC1=CC=C(C(NC2=CC=C(C3(C4=CC=CC=C4C5=C3C=CC=C5)C6=CC=C(NC(C7=CC=C(N)C=C7)=O)C=C6)C=C2)=O)C=C1,86,
106,N/C=C/C=C/CNC1=CC=C(C2=C(C(F)(F)F)C=C(NC(C3=CC=C(N)C=C3)=O)C=C2)C(C(F)(F)F)=C1,87,
107,NC1=C(C)C=C(C(NC2=CC=C(C3=C(C(F)(F)F)C=C(NC(C4=CC=C(N)C(C)=C4)=O)C=C3)C(C(F)(F)F)=C2)=O)C=C1,88,
108,N[C@@H]1CC[C@@H](N)CC1,89,
109,NC1CCC(CC2CCC(N)C(C)C2)CC1C,90,
110,NC1=CC=C(C=C1)C(C2=CC=C(C=C2)N)=O,91,
111,NC1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)C2=CC=C(C=C2)N,92,
112,NC1=CC(C)=C(OC2C(OCC3OC4=C(C)C=C(N)C=C4)C3OC2)C=C1,93,
113,NC1=CC(NC(C(O2)=CC=C2C(NC3=CC(N)=CC=C3)=O)=O)=CC=C1,94,
114,NC1=CC=C(NC(C(O2)=CC=C2C(NC3=CC=C(N)C=C3)=O)=O)C=C1,95,
115,NC1=CC=C(NC(C2=CC(C(NC3=CC=C(N)C=C3)=O)=CC=C2)=O)C=C1,96,
116,NC1=CC(OC2=CC(OC3=CC(N)=CC=C3)=CC=C2)=CC=C1,97,
117,NC1=C(C(C)(C)C)C=C(C(C2=CC=C(N)C(C(C)(C)C)=C2)C3CCCCC3)C=C1,98,
118,NC1=C(C)C=C(C(C2=CC=C(N)C(C)=C2)C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C=C1,99,
119,NC(C=C1)=CC=C1N(C2=CC=C(N)C=C2)C3=C(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C=C(C5=CC(C(F)(F)F)=CC(C(F)(F)F)=C5)C=C3C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6,100,
120,NC1=C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C=CC(N)=C1,101,
121,NC(C=C1C)=CC=C1C2=NC3=CC(N)=CC=C3N2C,102,
122,NC(C=C1C(F)(F)F)=CC=C1C2=NC3=CC(N)=CC=C3N2C,103,
123,NC(C=C1C)=CC=C1C2=NC3=CC(N)=CC=C3N2C4=CC=CC=C4,104,
124,NC(C=C1C(F)(F)F)=CC=C1C2=NC3=CC(N)=CC=C3N2C4=CC=CC=C4,105,
